t,dual_CO2_Liq,p_CO2_Liq,dual_Electricity,p_Electricity,comp_in_CO2_Liq,comp_in_Electricity,comp_out_CO2_Comp,wedge_0.07_p_el,store_volume,store_charge_Fuelusetotal,store_discharge,dual_storage_balance_lambda,dual_soc_max_mu,dual_terminal_soc_nu,comp_on,store_charge_on,store_discharge_on,any_activity,idle_but_priced
T5666,-71.19578387837343,71.19578387837343,-33.5255,33.5255,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.346785,,,,,,,True,False,False,True,False
T5667,-71.19578387837343,71.19578387837343,-33.5255,33.5255,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.346785,,,,,,,True,False,False,True,False
T5668,-71.19578387837343,71.19578387837343,-33.5255,33.5255,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.346785,,,,,,,True,False,False,True,False
T5669,-71.19578387837343,71.19578387837343,-33.5255,33.5255,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.346785,,,,,,,True,False,False,True,False
T5670,-71.19578387837343,71.19578387837343,-33.5255,33.5255,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.346785,,,,,,,True,False,False,True,False
T5671,-71.19578387837343,71.19578387837343,-33.5255,33.5255,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.346785,,,,,,,True,False,False,True,False
T5672,-71.82956912008467,71.82956912008467,-35.29,35.29,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.4703000000000004,,,,,,,True,False,False,True,False
T5673,-71.73618053247064,71.73618053247064,-35.03,35.03,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.4521,,,,,,,True,False,False,True,False
T5674,-71.82956912008467,71.82956912008467,-35.29,35.29,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.4703000000000004,,,,,,,True,False,False,True,False
T5675,-71.7936504325408,71.7936504325408,-35.19,35.19,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.4633000000000003,,,,,,,True,False,False,True,False
T5676,-71.66075128862856,71.66075128862856,-34.82,34.82,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.4374000000000002,,,,,,,True,False,False,True,False
T5677,-71.19578387837343,71.19578387837343,-33.5255,33.5255,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.346785,,,,,,,True,False,False,True,False
T5678,-71.19578387837343,71.19578387837343,-33.5255,33.5255,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.346785,,,,,,,True,False,False,True,False
