t,dual_CO2_Liq,p_CO2_Liq,dual_Electricity,p_Electricity,comp_in_CO2_Liq,comp_in_Electricity,comp_out_CO2_Comp,wedge_0.07_p_el,store_volume,store_charge_Fuelusetotal,store_discharge,dual_storage_balance_lambda,dual_soc_max_mu,dual_terminal_soc_nu,comp_on,store_charge_on,store_discharge_on,any_activity,idle_but_priced
T1632,-77.56198862689732,77.56198862689732,-2.06,2.06,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.14420000000000002,2.0059499999999915,0.0004999999999999449,0.0,77.56198862689732,0.0,-73.27635957008789,True,True,False,True,False
T1633,-77.56198862689732,77.56198862689732,-2.06,2.06,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.14420000000000002,2.006449999999991,0.0004999999999999449,0.0,77.56198862689732,0.0,-73.27635957008789,True,True,False,True,False
T1634,-77.56198862689732,77.56198862689732,-2.06,2.06,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.14420000000000002,2.006949999999991,0.0004999999999999449,0.0,77.56198862689732,0.0,-73.27635957008789,True,True,False,True,False
T1635,-77.56198862689732,77.56198862689732,-0.8499999999999996,0.8499999999999996,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.05949999999999998,2.0074499999999906,0.0004999999999999449,0.0,77.56198862689732,0.0,-73.27635957008789,True,True,False,True,False
T1636,-77.56198862689732,77.56198862689732,-2.06,2.06,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.14420000000000002,2.0079499999999904,0.0004999999999999449,0.0,77.56198862689732,0.0,-73.27635957008789,True,True,False,True,False
T1637,-77.56198862689732,77.56198862689732,-2.06,2.06,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.14420000000000002,2.00844999999999,0.0004999999999999449,0.0,77.56198862689732,0.0,-73.27635957008789,True,True,False,True,False
T1638,-77.56198862689732,77.56198862689732,-2.06,2.06,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.14420000000000002,2.00894999999999,0.0004999999999999449,0.0,77.56198862689732,0.0,-73.27635957008789,True,True,False,True,False
T1639,-77.56198862689732,77.56198862689732,-13.78,13.78,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.9646,2.0094499999999895,0.0004999999999999449,0.0,77.56198862689732,0.0,-73.27635957008789,True,True,False,True,False
T1640,-77.56198862689732,77.56198862689732,-38.96,38.96,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7272000000000003,2.0099499999999892,0.0004999999999999449,0.0,77.56198862689732,0.0,-73.27635957008789,True,True,False,True,False
T1641,-77.56198862689732,77.56198862689732,-38.35,38.35,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.6845000000000003,2.010449999999989,0.0004999999999999449,0.0,77.56198862689732,0.0,-73.27635957008789,True,True,False,True,False
T1642,-77.56198862689732,77.56198862689732,-39.09,39.09,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7363000000000004,2.0109499999999887,0.0004999999999999449,0.0,77.56198862689732,0.0,-73.27635957008789,True,True,False,True,False
T1643,-77.56198862689732,77.56198862689732,-39.9,39.9,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.793,2.0114499999999884,0.0004999999999999449,0.0,77.56198862689732,0.0,-73.27635957008789,True,True,False,True,False
T1644,-77.56198862689732,77.56198862689732,-40.17,40.17,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.8119000000000005,2.011949999999988,0.0004999999999999449,0.0,77.56198862689732,0.0,-73.27635957008789,True,True,False,True,False
T1645,-77.56198862689732,77.56198862689732,-38.76,38.76,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7132,2.012449999999988,0.0004999999999999449,0.0,77.56198862689732,0.0,-73.27635957008789,True,True,False,True,False
T1646,-77.56198862689732,77.56198862689732,-39.75,39.75,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7825,2.0129499999999876,0.0004999999999999449,0.0,77.56198862689732,0.0,-73.27635957008789,True,True,False,True,False
T1647,-77.56198862689732,77.56198862689732,-39.91,39.91,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7937,2.0134499999999873,0.0004999999999999449,0.0,77.56198862689732,0.0,-73.27635957008789,True,True,False,True,False
T1648,-77.56198862689732,77.56198862689732,-39.27,39.27,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7489000000000003,2.013949999999987,0.0004999999999999449,0.0,77.56198862689732,0.0,-73.27635957008789,True,True,False,True,False
T1649,-77.56198862689732,77.56198862689732,-41.34,41.34,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.8938000000000006,2.0144499999999868,0.0004999999999999449,0.0,77.56198862689732,0.0,-73.27635957008789,True,True,False,True,False
T1650,-77.56198862689732,77.56198862689732,-43.51,43.51,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.0457,2.0149499999999865,0.0004999999999999449,0.0,77.56198862689732,0.0,-73.27635957008789,True,True,False,True,False
T1651,-77.56198862689732,77.56198862689732,-44.36,44.36,0.6529833333333334,0.04570883333333334,0.6529833333333334,3.1052000000000004,2.994924999999986,0.9799749999999997,0.0,77.56198862689732,0.0,-73.27635957008789,True,True,False,True,False
T1652,-77.56198862689732,77.56198862689732,-54.22105263157894,54.22105263157894,0.0,0.0,0.0,3.7954736842105263,2.994924999999986,0.0,0.0,77.56198862689732,0.0,-73.27635957008789,False,False,False,False,True
T1653,-77.56198862689732,77.56198862689732,-54.22105263157894,54.22105263157894,0.0,0.0,0.0,3.7954736842105263,2.994924999999986,0.0,0.0,77.56198862689732,0.0,-73.27635957008789,False,False,False,False,True
T1654,-77.56198862689732,77.56198862689732,-54.22105263157894,54.22105263157894,0.0,0.0,0.0,3.7954736842105263,2.994924999999986,0.0,0.0,77.56198862689732,0.0,-73.27635957008789,False,False,False,False,True
T1655,-77.56198862689732,77.56198862689732,-54.22105263157894,54.22105263157894,0.0,0.0,0.0,3.7954736842105263,2.994924999999986,0.0,0.0,77.56198862689732,0.0,-73.27635957008789,False,False,False,False,True
T1656,-77.56198862689732,77.56198862689732,-51.51,51.51,0.0,0.0,0.0,3.6057,2.994924999999986,0.0,0.0,77.56198862689732,0.0,-73.27635957008789,False,False,False,False,True
T1657,-77.56198862689732,77.56198862689732,-51.51,51.51,0.0,0.0,0.0,3.6057,2.994924999999986,0.0,0.0,77.56198862689732,0.0,-73.27635957008789,False,False,False,False,True
T1658,-77.56198862689732,77.56198862689732,-52.75,52.75,0.0,0.0,0.0,3.6925000000000003,2.994924999999986,0.0,0.0,77.56198862689732,0.0,-73.27635957008789,False,False,False,False,True
T1659,-77.56198862689732,77.56198862689732,-52.92,52.92,0.0,0.0,0.0,3.7044000000000006,2.994924999999986,0.0,0.0,77.56198862689732,0.0,-73.27635957008789,False,False,False,False,True
