t,dual_CO2_Liq,p_CO2_Liq,dual_Electricity,p_Electricity,comp_in_CO2_Liq,comp_in_Electricity,comp_out_CO2_Comp,wedge_0.07_p_el,store_volume,store_charge_Fuelusetotal,store_discharge,dual_storage_balance_lambda,dual_soc_max_mu,dual_terminal_soc_nu,comp_on,store_charge_on,store_discharge_on,any_activity,idle_but_priced
T6583,-6.621210000000022,6.621210000000022,-51.79,51.79,0.6529833333333334,0.04570883333333334,0.6529833333333334,3.6253,23.84516923077031,0.0,0.6529833333333334,6.621210000000022,0.0,-5.4713110823311695,True,False,True,True,False
T6584,-6.621210000000022,6.621210000000022,-52.4,52.4,0.0,0.0,0.0,3.668,23.84516923077031,0.0,0.0,6.621210000000022,0.0,-5.4713110823311695,False,False,False,False,True
T6585,-6.621210000000022,6.621210000000022,-49.42,49.42,0.0,0.0,0.0,3.4594000000000005,23.84516923077031,0.0,0.0,6.621210000000022,0.0,-5.4713110823311695,False,False,False,False,True
T6586,-6.621210000000022,6.621210000000022,-49.38,49.38,0.6529833333333334,0.04570883333333334,0.6529833333333334,3.4566000000000003,23.192185897436975,0.0,0.6529833333333334,6.621210000000022,0.0,-5.4713110823311695,True,False,True,True,False
T6587,-6.621210000000022,6.621210000000022,-46.38,46.38,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.2466000000000004,23.192685897436974,0.0004999999999999449,0.0,6.621210000000022,0.0,-5.4713110823311695,True,True,False,True,False
T6588,-6.621210000000022,6.621210000000022,-36.28,36.28,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.5396000000000005,23.193185897436972,0.0004999999999999449,0.0,6.621210000000022,0.0,-5.4713110823311695,True,True,False,True,False
T6589,-6.621210000000022,6.621210000000022,-35.58,35.58,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.4906,23.19368589743697,0.0004999999999999449,0.0,6.621210000000022,0.0,-5.4713110823311695,True,True,False,True,False
T6590,-6.621210000000022,6.621210000000022,-35.22,35.22,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.4654000000000003,23.19418589743697,0.0004999999999999449,0.0,6.621210000000022,0.0,-5.4713110823311695,True,True,False,True,False
T6591,-6.621210000000022,6.621210000000022,-34.92,34.92,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.4444000000000004,23.19468589743697,0.0004999999999999449,0.0,6.621210000000022,0.0,-5.4713110823311695,True,True,False,True,False
T6592,-6.621210000000022,6.621210000000022,-34.92,34.92,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.4444000000000004,23.195185897436968,0.0004999999999999449,0.0,6.621210000000022,0.0,-5.4713110823311695,True,True,False,True,False
T6593,-6.621210000000022,6.621210000000022,-40.47,40.47,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.8329,23.195685897436967,0.0004999999999999449,0.0,6.621210000000022,0.0,-5.4713110823311695,True,True,False,True,False
T6594,-6.621210000000022,6.621210000000022,-48.01,48.01,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.3607,23.196185897436965,0.0004999999999999449,0.0,6.621210000000022,0.0,-5.4713110823311695,True,True,False,True,False
T6595,-6.621210000000022,6.621210000000022,-51.61,51.61,0.6529833333333334,0.04570883333333334,0.6529833333333334,3.6127000000000002,22.54320256410363,0.0,0.6529833333333334,6.621210000000022,0.0,-5.4713110823311695,True,False,True,True,False
T6596,-6.621210000000022,6.621210000000022,-47.16,47.16,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.3012,22.54370256410363,0.0004999999999999449,0.0,6.621210000000022,0.0,-5.4713110823311695,True,True,False,True,False
T6597,-6.621210000000022,6.621210000000022,-37.13,37.13,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.5991000000000004,22.544202564103628,0.0004999999999999449,0.0,6.621210000000022,0.0,-5.4713110823311695,True,True,False,True,False
