t,comp_out,dual_CO2_Liq,dual_CO2_Comp,dual_Electricity,p_CO2_Liq,p_CO2_Comp,p_Electricity,alpha_CO2_Liq_per_CO2_Comp,alpha_Electricity_per_CO2_Comp,p_CO2_Comp_pred,pred_error
T4798,0.6529833333333334,-80.52803523772255,-85.00803523772255,-64.0,80.52803523772255,85.00803523772255,64.0,1.0,0.07,85.00803523772255,0.0
T4800,0.6529833333333334,-75.95558631339046,-79.77828631339045,-54.61,75.95558631339046,79.77828631339045,54.61,1.0,0.07,79.77828631339045,0.0
T4801,0.6529833333333334,-76.03101555723254,-79.63461555723254,-51.48,76.03101555723254,79.63461555723254,51.48,1.0,0.07,79.63461555723254,0.0
T4802,0.8162291666666687,-75.95558631339046,-79.47028631339046,-50.21,75.95558631339046,79.47028631339046,50.21,1.0,0.07,79.47028631339046,0.0
T4803,1.6324583333333331,-75.95558631339046,-79.38628631339046,-49.01,75.95558631339046,79.38628631339046,49.01,1.0,0.07,79.38628631339046,0.0
T4804,1.6324583333333331,-75.95558631339046,-78.40278631339045,-34.96,75.95558631339046,78.40278631339045,34.96,1.0,0.07,78.40278631339045,0.0
T4805,1.6324583333333331,-75.95558631339046,-78.40278631339045,-34.96,75.95558631339046,78.40278631339045,34.96,1.0,0.07,78.40278631339045,0.0
T4806,1.6324583333333331,-75.95558631339046,-78.40558631339046,-35.0,75.95558631339046,78.40558631339046,35.0,1.0,0.07,78.40558631339046,0.0
T4807,1.6324583333333331,-75.95558631339046,-78.46858631339046,-35.9,75.95558631339046,78.46858631339046,35.9,1.0,0.07,78.46858631339046,0.0
T4808,1.6324583333333331,-75.95558631339046,-78.53088631339045,-36.79,75.95558631339046,78.53088631339045,36.79,1.0,0.07,78.53088631339045,0.0
T4809,1.6324583333333331,-75.95558631339046,-78.53158631339045,-36.8,75.95558631339046,78.53158631339045,36.8,1.0,0.07,78.53158631339045,0.0
T4810,1.6324583333333331,-75.95558631339046,-78.49098631339045,-36.22,75.95558631339046,78.49098631339045,36.22,1.0,0.07,78.49098631339045,0.0
T4811,1.6324583333333331,-75.95558631339046,-78.47628631339046,-36.01,75.95558631339046,78.47628631339046,36.01,1.0,0.07,78.47628631339046,0.0
T4812,1.6324583333333331,-75.95558631339046,-78.42728631339045,-35.31,75.95558631339046,78.42728631339045,35.31,1.0,0.07,78.42728631339045,0.0
T4813,1.6324583333333331,-75.95558631339046,-78.40068631339045,-34.93,75.95558631339046,78.40068631339045,34.93,1.0,0.07,78.40068631339045,0.0
T4814,1.6324583333333331,-75.95558631339046,-78.38318631339045,-34.68,75.95558631339046,78.38318631339045,34.68,1.0,0.07,78.38318631339045,0.0
T4815,1.6324583333333331,-75.95558631339046,-78.35238631339045,-34.24,75.95558631339046,78.35238631339045,34.24,1.0,0.07,78.35238631339045,0.0
T4816,1.6324583333333331,-75.95558631339046,-78.35238631339045,-34.24,75.95558631339046,78.35238631339045,34.24,1.0,0.07,78.35238631339045,0.0
T4817,1.6324583333333331,-75.95558631339046,-78.38738631339045,-34.74,75.95558631339046,78.38738631339045,34.74,1.0,0.07,78.38738631339045,0.0
T4818,1.6324583333333331,-75.95558631339046,-78.53998631339046,-36.92,75.95558631339046,78.53998631339046,36.92,1.0,0.07,78.53998631339046,0.0
T4819,1.6324583333333331,-75.95558631339046,-78.64218631339045,-38.38,75.95558631339046,78.64218631339045,38.38,1.0,0.07,78.64218631339045,0.0
T4820,1.6324583333333331,-75.95558631339046,-78.58268631339045,-37.53,75.95558631339046,78.58268631339045,37.53,1.0,0.07,78.58268631339045,0.0
T4821,1.6324583333333331,-75.95558631339046,-78.57778631339046,-37.46,75.95558631339046,78.57778631339046,37.46,1.0,0.07,78.57778631339046,0.0
T4822,1.6324583333333331,-75.95558631339046,-78.61208631339045,-37.95,75.95558631339046,78.61208631339045,37.95,1.0,0.07,78.61208631339045,0.0
T4823,1.6324583333333331,-75.95558631339046,-78.56588631339045,-37.29,75.95558631339046,78.56588631339045,37.29,1.0,0.07,78.56588631339045,0.0
T4824,1.6324583333333331,-75.95558631339046,-78.37058631339046,-34.5,75.95558631339046,78.37058631339046,34.5,1.0,0.07,78.37058631339046,0.0
T4825,1.6324583333333331,-75.95558631339046,-78.22358631339046,-32.4,75.95558631339046,78.22358631339046,32.4,1.0,0.07,78.22358631339046,0.0
T4826,1.6324583333333331,-75.95558631339046,-78.19418631339046,-31.98,75.95558631339046,78.19418631339046,31.98,1.0,0.07,78.19418631339046,0.0
T4827,1.6324583333333331,-75.95558631339046,-78.19418631339046,-31.98,75.95558631339046,78.19418631339046,31.98,1.0,0.07,78.19418631339046,0.0
T4828,1.6324583333333331,-75.95558631339046,-78.19418631339046,-31.98,75.95558631339046,78.19418631339046,31.98,1.0,0.07,78.19418631339046,0.0
T4829,1.6324583333333331,-75.95558631339046,-78.19418631339046,-31.98,75.95558631339046,78.19418631339046,31.98,1.0,0.07,78.19418631339046,0.0
T4830,1.6324583333333331,-75.95558631339046,-78.29008631339046,-33.35,75.95558631339046,78.29008631339046,33.35,1.0,0.07,78.29008631339046,0.0
T4831,1.6324583333333331,-75.95558631339046,-78.41468631339046,-35.13,75.95558631339046,78.41468631339046,35.13,1.0,0.07,78.41468631339046,0.0
T4832,1.6324583333333331,-75.95558631339046,-78.46158631339046,-35.8,75.95558631339046,78.46158631339046,35.8,1.0,0.07,78.46158631339046,0.0
T4833,1.6324583333333331,-75.95558631339046,-78.50358631339046,-36.4,75.95558631339046,78.50358631339046,36.4,1.0,0.07,78.50358631339046,0.0
T4834,1.6324583333333331,-75.95558631339046,-78.51058631339046,-36.5,75.95558631339046,78.51058631339046,36.5,1.0,0.07,78.51058631339046,0.0
T4835,1.6324583333333331,-75.95558631339046,-78.49938631339046,-36.34,75.95558631339046,78.49938631339046,36.34,1.0,0.07,78.49938631339046,0.0
T4836,1.6324583333333331,-75.95558631339046,-78.43498631339045,-35.42,75.95558631339046,78.43498631339045,35.42,1.0,0.07,78.43498631339045,0.0
T4837,1.6324583333333331,-75.95558631339046,-78.37338631339045,-34.54,75.95558631339046,78.37338631339045,34.54,1.0,0.07,78.37338631339045,0.0
