t,comp_out,dual_CO2_Liq,dual_CO2_Comp,dual_Electricity,p_CO2_Liq,p_CO2_Comp,p_Electricity,alpha_CO2_Liq_per_CO2_Comp,alpha_Electricity_per_CO2_Comp,p_CO2_Comp_pred,pred_error
T0051,0.6995993046845315,-68.30918571959765,-72.43108045643976,-58.884210526315776,68.30918571959765,72.43108045643976,58.884210526315776,1.0,0.07,72.43108045643976,0.0
T0052,0.6529833333333334,-85.56745197967847,-89.68934671652057,-58.884210526315776,85.56745197967847,89.68934671652057,58.884210526315776,1.0,0.07,89.68934671652057,0.0
T0053,1.0295738450886127,-85.56745197967847,-89.48325197967847,-55.939999999999976,85.56745197967847,89.48325197967847,55.939999999999976,1.0,0.07,89.48325197967847,0.0
T0054,1.1711226158508545,-85.56745197967847,-89.48325197967846,-55.93999999999999,85.56745197967847,89.48325197967846,55.93999999999999,1.0,0.07,89.48325197967847,-1.4210854715202004e-14
T0055,0.6529833333333334,-85.56745197967847,-89.48325197967847,-55.93999999999997,85.56745197967847,89.48325197967847,55.93999999999997,1.0,0.07,89.48325197967847,0.0
T0056,0.6529833333333334,-85.56745197967847,-89.48325197967847,-55.93999999999997,85.56745197967847,89.48325197967847,55.93999999999997,1.0,0.07,89.48325197967847,0.0
T0057,0.6529833333333334,-69.44521143673893,-73.84751143673893,-62.89,69.44521143673893,73.84751143673893,62.89,1.0,0.07,73.84751143673893,0.0
T0068,0.6529833333333334,-85.56745197967848,-89.87315197967848,-61.51,85.56745197967848,89.87315197967848,61.51,1.0,0.07,89.87315197967848,0.0
T0069,0.6529833333333334,-85.56745197967847,-89.49025197967846,-56.04,85.56745197967847,89.49025197967846,56.04,1.0,0.07,89.49025197967846,0.0
T0070,1.6324583333333331,-85.56745197967847,-89.37825197967847,-54.44,85.56745197967847,89.37825197967847,54.44,1.0,0.07,89.37825197967847,0.0
T0071,1.6324583333333331,-85.56745197967847,-89.21375197967846,-52.09,85.56745197967847,89.21375197967846,52.09,1.0,0.07,89.21375197967846,0.0
T0072,1.6324583333333331,-85.56745197967847,-89.06605197967846,-49.98,85.56745197967847,89.06605197967846,49.98,1.0,0.07,89.06605197967846,0.0
