t,comp_out,dual_CO2_Liq,dual_CO2_Comp,dual_Electricity,p_CO2_Liq,p_CO2_Comp,p_Electricity,alpha_CO2_Liq_per_CO2_Comp,alpha_Electricity_per_CO2_Comp,p_CO2_Comp_pred,pred_error
T4202,1.6324583333333331,-257.2925451326475,-272.3362451326475,-214.91,257.2925451326475,272.3362451326475,214.91,1.0,0.07,272.3362451326475,0.0
T4203,1.6324583333333331,-257.2925451326475,-272.4881451326475,-217.08,257.2925451326475,272.4881451326475,217.08,1.0,0.07,272.4881451326475,0.0
T4204,1.6324583333333331,-257.2925451326475,-271.9267451326475,-209.06,257.2925451326475,271.9267451326475,209.06,1.0,0.07,271.9267451326475,0.0
T4205,1.6324583333333331,-257.2925451326475,-271.9267451326475,-209.06,257.2925451326475,271.9267451326475,209.06,1.0,0.07,271.9267451326475,0.0
T4206,1.6324583333333331,-257.2925451326475,-273.1636451326475,-226.73,257.2925451326475,273.1636451326475,226.73,1.0,0.07,273.1636451326475,0.0
T4207,1.6324583333333331,-257.2925451326475,-275.5688451326475,-261.09,257.2925451326475,275.5688451326475,261.09,1.0,0.07,275.5688451326475,0.0
T4208,1.6324583333333331,-257.2925451326475,-276.1246451326475,-269.03,257.2925451326475,276.1246451326475,269.03,1.0,0.07,276.1246451326475,0.0
T4209,1.6324583333333331,-257.2925451326475,-273.2707451326475,-228.26,257.2925451326475,273.2707451326475,228.26,1.0,0.07,273.2707451326475,0.0
T4210,1.6324583333333331,-257.2925451326475,-270.4362701326475,-187.7675,257.2925451326475,270.4362701326475,187.7675,1.0,0.07,270.4362701326475,0.0
T4211,1.6324583333333331,-257.2925451326475,-270.4362701326475,-187.7675,257.2925451326475,270.4362701326475,187.7675,1.0,0.07,270.4362701326475,0.0
T4212,1.6324583333333331,-257.2925451326475,-271.1280451326475,-197.65,257.2925451326475,271.1280451326475,197.65,1.0,0.07,271.1280451326475,0.0
T4213,1.6324583333333331,-257.2925451326475,-269.9226451326475,-180.43,257.2925451326475,269.9226451326475,180.43,1.0,0.07,269.9226451326475,0.0
T4214,1.6324583333333331,-257.2925451326475,-269.71474513264747,-177.46,257.2925451326475,269.71474513264747,177.46,1.0,0.07,269.71474513264747,0.0
T4215,1.6324583333333331,-257.2925451326475,-270.2383451326475,-184.94,257.2925451326475,270.2383451326475,184.94,1.0,0.07,270.2383451326475,0.0
T4216,1.6324583333333331,-257.2925451326475,-272.73874513264747,-220.66,257.2925451326475,272.73874513264747,220.66,1.0,0.07,272.73874513264747,0.0
T4217,1.6324583333333331,-257.2925451326475,-277.0654451326475,-282.46999999999997,257.2925451326475,277.0654451326475,282.46999999999997,1.0,0.07,277.0654451326475,0.0
T4218,1.6324583333333331,-257.2925451326475,-277.2404451326475,-284.96999999999997,257.2925451326475,277.2404451326475,284.96999999999997,1.0,0.07,277.2404451326475,0.0
T4219,0.6529833333333334,-257.2925451326475,-280.1944451326475,-327.17,257.2925451326475,280.1944451326475,327.17,1.0,0.07,280.1944451326475,0.0
T4223,0.6529833333333334,-257.2925451326475,-278.8763451326475,-308.34,257.2925451326475,278.8763451326475,308.34,1.0,0.07,278.8763451326475,0.0
T4224,1.6324583333333331,-257.2925451326475,-278.4542451326475,-302.31,257.2925451326475,278.4542451326475,302.31,1.0,0.07,278.4542451326475,0.0
T4225,1.6324583333333331,-257.2925451326475,-276.5236451326475,-274.72999999999996,257.2925451326475,276.5236451326475,274.72999999999996,1.0,0.07,276.5236451326475,0.0
T4226,1.6324583333333331,-257.2925451326475,-273.48354513264746,-231.3,257.2925451326475,273.48354513264746,231.3,1.0,0.07,273.48354513264746,0.0
T4227,1.6324583333333331,-257.2925451326475,-272.6939451326475,-220.02,257.2925451326475,272.6939451326475,220.02,1.0,0.07,272.6939451326475,0.0
T4228,1.6324583333333331,-257.2925451326475,-272.0051451326475,-210.18,257.2925451326475,272.0051451326475,210.18,1.0,0.07,272.0051451326475,0.0
T4229,1.6324583333333331,-257.2925451326475,-269.9100451326475,-180.25,257.2925451326475,269.9100451326475,180.25,1.0,0.07,269.9100451326475,0.0
T4230,1.6324583333333331,-257.2925451326475,-270.4413451326475,-187.84,257.2925451326475,270.4413451326475,187.84,1.0,0.07,270.4413451326475,0.0
T4231,1.6324583333333331,-257.2925451326475,-269.96744513264747,-181.07,257.2925451326475,269.96744513264747,181.07,1.0,0.07,269.96744513264747,0.0
T4232,1.6324583333333331,-257.2925451326475,-268.14884513264747,-155.09,257.2925451326475,268.14884513264747,155.09,1.0,0.07,268.14884513264747,0.0
T4233,1.6324583333333331,-257.2925451326475,-265.1423451326475,-112.14,257.2925451326475,265.1423451326475,112.14,1.0,0.07,265.1423451326475,0.0
T4234,1.6324583333333331,-257.2925451326475,-264.38774513264747,-101.36,257.2925451326475,264.38774513264747,101.36,1.0,0.07,264.38774513264747,0.0
T4235,1.6324583333333331,-257.2925451326475,-263.94254513264747,-95.0,257.2925451326475,263.94254513264747,95.0,1.0,0.07,263.94254513264747,0.0
T4236,1.6324583333333331,-257.2925451326475,-263.1039451326475,-83.02,257.2925451326475,263.1039451326475,83.02,1.0,0.07,263.1039451326475,0.0
T4237,1.6324583333333331,-257.2925451326475,-262.8799451326475,-79.82,257.2925451326475,262.8799451326475,79.82,1.0,0.07,262.8799451326475,0.0
T4238,1.6324583333333331,-257.2925451326475,-262.8799451326475,-79.82,257.2925451326475,262.8799451326475,79.82,1.0,0.07,262.8799451326475,0.0
T4239,1.6324583333333331,-257.2925451326475,-265.1640451326475,-112.45,257.2925451326475,265.1640451326475,112.45,1.0,0.07,265.1640451326475,0.0
T4240,1.6324583333333331,-257.2925451326475,-269.6286451326475,-176.23,257.2925451326475,269.6286451326475,176.23,1.0,0.07,269.6286451326475,0.0
T4241,1.6324583333333331,-257.2925451326475,-272.5742451326475,-218.31,257.2925451326475,272.5742451326475,218.31,1.0,0.07,272.5742451326475,0.0
T4242,1.6324583333333331,-257.2925451326475,-277.5239451326475,-289.02,257.2925451326475,277.5239451326475,289.02,1.0,0.07,277.5239451326475,0.0
T4243,1.6324583333333331,-257.56911902673505,-280.30441902673505,-324.79,257.56911902673505,280.30441902673505,324.79,1.0,0.07,280.30441902673505,0.0
T4244,1.6324583333333331,-260.65453428675175,-283.99113428675173,-333.38,260.65453428675175,283.99113428675173,333.38,1.0,0.07,283.99113428675173,0.0
T4245,1.6324583333333331,-260.94547565585697,-284.338775655857,-334.19,260.94547565585697,284.338775655857,334.19,1.0,0.07,284.338775655857,0.0
T4246,1.6324583333333331,-261.49143970652347,-284.9911397065235,-335.71,261.49143970652347,284.9911397065235,335.71,1.0,0.07,284.9911397065235,0.0
T4247,1.6324583333333331,-261.49143970652347,-283.6023397065235,-315.87,261.49143970652347,283.6023397065235,315.87,1.0,0.07,283.6023397065235,0.0
T4248,1.6324583333333331,-261.49143970652347,-282.18483970652346,-295.62,261.49143970652347,282.18483970652346,295.62,1.0,0.07,282.18483970652346,0.0
T4249,1.6324583333333331,-261.49143970652347,-279.95043970652347,-263.7,261.49143970652347,279.95043970652347,263.7,1.0,0.07,279.95043970652347,0.0
T4250,1.6324583333333331,-261.49143970652347,-279.5563397065235,-258.07,261.49143970652347,279.5563397065235,258.07,1.0,0.07,279.5563397065235,0.0
T4251,1.6324583333333331,-261.49143970652347,-279.42123970652347,-256.14,261.49143970652347,279.42123970652347,256.14,1.0,0.07,279.42123970652347,0.0
T4252,1.6324583333333331,-261.49143970652347,-279.42123970652347,-256.14,261.49143970652347,279.42123970652347,256.14,1.0,0.07,279.42123970652347,0.0
T4253,1.6324583333333331,-261.49143970652347,-280.31233970652346,-268.87,261.49143970652347,280.31233970652346,268.87,1.0,0.07,280.31233970652346,0.0
T4254,1.6324583333333331,-261.49143970652347,-284.65513970652347,-330.91,261.49143970652347,284.65513970652347,330.91,1.0,0.07,284.65513970652347,0.0
T4255,1.6324583333333331,-269.4761639475213,-294.53196394752126,-357.94,269.4761639475213,294.53196394752126,357.94,1.0,0.07,294.53196394752126,0.0
T4256,1.6324583333333331,-274.1922876220288,-300.1671876220288,-371.07,274.1922876220288,300.1671876220288,371.07,1.0,0.07,300.1671876220288,0.0
T4257,1.6324583333333331,-274.1922876220288,-298.5788876220288,-348.38,274.1922876220288,298.5788876220288,348.38,1.0,0.07,298.5788876220288,0.0
T4258,1.6324583333333331,-274.1922876220288,-297.4700876220288,-332.54,274.1922876220288,297.4700876220288,332.54,1.0,0.07,297.4700876220288,0.0
T4259,1.6324583333333331,-274.1922876220288,-294.7372876220288,-293.5,274.1922876220288,294.7372876220288,293.5,1.0,0.07,294.7372876220288,0.0
T4260,1.6324583333333331,-274.1922876220288,-292.9522876220288,-268.0,274.1922876220288,292.9522876220288,268.0,1.0,0.07,292.9522876220288,0.0
T4261,1.6324583333333331,-274.1922876220288,-291.8231876220288,-251.87,274.1922876220288,291.8231876220288,251.87,1.0,0.07,291.8231876220288,0.0
T4262,1.6324583333333331,-274.1922876220288,-291.8231876220288,-251.87,274.1922876220288,291.8231876220288,251.87,1.0,0.07,291.8231876220288,0.0
T4263,1.6324583333333331,-274.1922876220288,-292.3859876220288,-259.91,274.1922876220288,292.3859876220288,259.91,1.0,0.07,292.3859876220288,0.0
T4264,1.6324583333333331,-274.1922876220288,-294.3921876220288,-288.57,274.1922876220288,294.3921876220288,288.57,1.0,0.07,294.3921876220288,0.0
T4265,1.6324583333333331,-274.1922876220288,-298.0559876220288,-340.91,274.1922876220288,298.0559876220288,340.91,1.0,0.07,298.0559876220288,0.0
T4266,0.6529833333333334,-274.74902727895847,-301.2503272789585,-378.59,274.74902727895847,301.2503272789585,378.59,1.0,0.07,301.2503272789585,0.0
