t,dual_CO2_Liq,p_CO2_Liq,dual_Electricity,p_Electricity,comp_in_CO2_Liq,comp_in_Electricity,comp_out_CO2_Comp,wedge_0.07_p_el,store_volume,store_charge_Fuelusetotal,store_discharge,dual_storage_balance_lambda,dual_soc_max_mu,dual_terminal_soc_nu,comp_on,store_charge_on,store_discharge_on,any_activity,idle_but_priced
T4931,-57.382450000000006,57.382450000000006,-265.25,265.25,1.6324583333333331,0.11427208333333333,1.6324583333333331,18.567500000000003,39.16299999999986,0.0004999999999999449,0.0,57.382450000000006,0.0,-13.565740000000002,True,True,False,True,False
T4932,-57.382450000000006,57.382450000000006,-235.09,235.09,1.6324583333333331,0.11427208333333333,1.6324583333333331,16.456300000000002,39.163499999999864,0.0004999999999999449,0.0,57.382450000000006,0.0,-13.565740000000002,True,True,False,True,False
T4933,-57.382450000000006,57.382450000000006,-231.32,231.32,1.6324583333333331,0.11427208333333333,1.6324583333333331,16.192400000000003,39.16399999999987,0.0004999999999999449,0.0,57.382450000000006,0.0,-13.565740000000002,True,True,False,True,False
T4934,-57.382450000000006,57.382450000000006,-222.45,222.45,1.6324583333333331,0.11427208333333333,1.6324583333333331,15.5715,39.16449999999987,0.0004999999999999449,0.0,57.382450000000006,0.0,-13.565740000000002,True,True,False,True,False
T4935,-57.382450000000006,57.382450000000006,-204.97,204.97,1.6324583333333331,0.11427208333333333,1.6324583333333331,14.347900000000001,39.16499999999987,0.0004999999999999449,0.0,57.382450000000006,0.0,-13.565740000000002,True,True,False,True,False
T4936,-57.382450000000006,57.382450000000006,-217.77,217.77,1.6324583333333331,0.11427208333333333,1.6324583333333331,15.243900000000002,39.165499999999874,0.0004999999999999449,0.0,57.382450000000006,0.0,-13.565740000000002,True,True,False,True,False
T4937,-57.382450000000006,57.382450000000006,-266.29,266.29,1.6324583333333331,0.11427208333333333,1.6324583333333331,18.640300000000003,39.165999999999876,0.0004999999999999449,0.0,57.382450000000006,0.0,-13.565740000000002,True,True,False,True,False
T4938,-57.382450000000006,57.382450000000006,-322.36,322.36,1.6324583333333331,0.11427208333333333,1.6324583333333331,22.565200000000004,39.16649999999988,0.0004999999999999449,0.0,57.382450000000006,0.0,-13.565740000000002,True,True,False,True,False
T4939,-57.382450000000006,57.382450000000006,-370.9,370.9,1.6324583333333331,0.11427208333333333,1.6324583333333331,25.963,39.16699999999988,0.0004999999999999449,0.0,57.382450000000006,0.0,-13.565740000000002,True,True,False,True,False
T4940,-57.382450000000006,57.382450000000006,-373.24,373.24,1.6324583333333331,0.11427208333333333,1.6324583333333331,26.126800000000003,39.16749999999988,0.0004999999999999449,0.0,57.382450000000006,0.0,-13.565740000000002,True,True,False,True,False
