t,comp_out,dual_CO2_Liq,dual_CO2_Comp,dual_Electricity,p_CO2_Liq,p_CO2_Comp,p_Electricity,alpha_CO2_Liq_per_CO2_Comp,alpha_Electricity_per_CO2_Comp,p_CO2_Comp_pred,pred_error
T0096,1.6324583333333331,-158.7186774545319,-164.9610324545319,-89.1765,158.7186774545319,164.9610324545319,89.1765,1.0,0.07,164.9610324545319,0.0
T0097,1.6324583333333331,-160.4045210544025,-166.9754210544025,-93.87,160.4045210544025,166.9754210544025,93.87,1.0,0.07,166.9754210544025,0.0
T0098,1.6324583333333331,-145.25401864840663,-148.87231864840663,-51.69,145.25401864840663,148.87231864840663,51.69,1.0,0.07,148.87231864840663,0.0
T0099,1.6324583333333331,-144.6613603039331,-148.1641603039331,-50.04,144.6613603039331,148.1641603039331,50.04,1.0,0.07,148.1641603039331,0.0
T0100,1.6324583333333331,-144.6613603039331,-148.1641603039331,-50.04,144.6613603039331,148.1641603039331,50.04,1.0,0.07,148.1641603039331,0.0
T0101,1.6324583333333331,-144.67213591019626,-148.17703591019625,-50.07,144.67213591019626,148.17703591019625,50.07,1.0,0.07,148.17703591019625,0.0
T0102,1.6324583333333331,-160.232111354192,-166.769411354192,-93.39,160.232111354192,166.769411354192,93.39,1.0,0.07,166.769411354192,0.0
T0103,1.6324583333333331,-162.30461962547218,-169.2458196254722,-99.16,162.30461962547218,169.2458196254722,99.16,1.0,0.07,169.2458196254722,0.0
T0104,1.6324583333333331,-163.01940150759475,-170.09990150759475,-101.15,163.01940150759475,170.09990150759475,101.15,1.0,0.07,170.09990150759475,0.0
T0105,1.6324583333333331,-173.22390063880252,-182.2931006388025,-129.56,173.22390063880252,182.2931006388025,129.56,1.0,0.07,182.2931006388025,0.0
T0106,1.6324583333333331,-170.8970880597119,-179.5128280597119,-123.08200000000001,170.8970880597119,179.5128280597119,123.08200000000001,1.0,0.07,179.5128280597119,0.0
T0107,1.6324583333333331,-175.19583658495986,-184.64933658495985,-135.05,175.19583658495986,184.64933658495985,135.05,1.0,0.07,184.64933658495985,0.0
T0108,1.6324583333333331,-177.6505953099961,-187.58249004683822,-141.88421052631577,177.6505953099961,187.58249004683822,141.88421052631577,1.0,0.07,187.58249004683822,0.0
T0109,1.6324583333333331,-177.6505953099961,-187.58249004683822,-141.88421052631577,177.6505953099961,187.58249004683822,141.88421052631577,1.0,0.07,187.58249004683822,0.0
