t,comp_out,dual_CO2_Liq,dual_CO2_Comp,dual_Electricity,p_CO2_Liq,p_CO2_Comp,p_Electricity,alpha_CO2_Liq_per_CO2_Comp,alpha_Electricity_per_CO2_Comp,p_CO2_Comp_pred,pred_error
T0181,0.6529833333333334,-21.75423,-32.86953,-158.79,21.75423,32.86953,158.79,1.0,0.07,32.86953,0.0
T0182,1.6324583333333331,-21.75423,-32.67913,-156.07,21.75423,32.67913,156.07,1.0,0.07,32.67913,0.0
T0183,1.6324583333333331,-21.75423,-32.68683,-156.18,21.75423,32.68683,156.18,1.0,0.07,32.68683,0.0
T0184,0.6529833333333334,-21.75423,-32.87653,-158.89,21.75423,32.87653,158.89,1.0,0.07,32.87653,0.0
T0187,0.6529833333333334,-21.75423,-33.70393,-170.71,21.75423,33.70393,170.71,1.0,0.07,33.70393,0.0
T0188,1.6324583333333331,-21.696690000000004,-31.512790000000003,-140.23,21.696690000000004,31.512790000000003,140.23,1.0,0.07,31.512790000000003,0.0
T0189,1.6324583333333331,-21.696690000000004,-28.874490000000005,-102.54,21.696690000000004,28.874490000000005,102.54,1.0,0.07,28.874490000000005,0.0
T0190,1.6324583333333331,-21.696690000000004,-29.036190000000005,-104.85,21.696690000000004,29.036190000000005,104.85,1.0,0.07,29.036190000000005,0.0
T0191,1.6324583333333331,-21.696690000000004,-29.032690000000002,-104.8,21.696690000000004,29.032690000000002,104.8,1.0,0.07,29.032690000000002,0.0
T0192,1.6324583333333331,-21.696690000000004,-28.000190000000003,-90.05,21.696690000000004,28.000190000000003,90.05,1.0,0.07,28.000190000000003,0.0
T0193,1.6324583333333331,-21.696690000000004,-27.648790000000005,-85.03,21.696690000000004,27.648790000000005,85.03,1.0,0.07,27.648790000000005,0.0
T0194,1.6324583333333331,-21.696690000000004,-27.604690000000005,-84.4,21.696690000000004,27.604690000000005,84.4,1.0,0.07,27.604690000000005,0.0
T0195,1.6324583333333331,-21.696690000000004,-27.313490000000005,-80.24,21.696690000000004,27.313490000000005,80.24,1.0,0.07,27.313490000000005,0.0
T0196,1.6324583333333331,-21.696690000000004,-25.578890000000005,-55.46,21.696690000000004,25.578890000000005,55.46,1.0,0.07,25.578890000000005,0.0
T0197,1.6324583333333331,-21.696690000000004,-25.241490000000006,-50.64,21.696690000000004,25.241490000000006,50.64,1.0,0.07,25.241490000000006,0.0
T0198,1.6324583333333331,-21.696690000000004,-25.241490000000006,-50.64,21.696690000000004,25.241490000000006,50.64,1.0,0.07,25.241490000000006,0.0
T0199,1.6324583333333331,-21.696690000000004,-26.896990000000006,-74.29,21.696690000000004,26.896990000000006,74.29,1.0,0.07,26.896990000000006,0.0
T0200,1.6324583333333331,-21.696690000000004,-27.607490000000006,-84.44,21.696690000000004,27.607490000000006,84.44,1.0,0.07,27.607490000000006,0.0
T0201,1.6324583333333331,-21.696690000000004,-28.504890000000003,-97.26,21.696690000000004,28.504890000000003,97.26,1.0,0.07,28.504890000000003,0.0
T0202,1.6324583333333331,-21.696690000000004,-30.094590000000004,-119.97,21.696690000000004,30.094590000000004,119.97,1.0,0.07,30.094590000000004,0.0
T0203,1.6324583333333331,-21.696690000000004,-31.143890000000006,-134.96,21.696690000000004,31.143890000000006,134.96,1.0,0.07,31.143890000000006,0.0
T0204,1.6324583333333331,-21.696690000000004,-31.904090000000004,-145.82,21.696690000000004,31.904090000000004,145.82,1.0,0.07,31.904090000000004,0.0
T0205,1.6324583333333331,-21.696690000000004,-32.696490000000004,-157.14,21.696690000000004,32.696490000000004,157.14,1.0,0.07,32.696490000000004,0.0
T0206,1.6324583333333331,-21.696690000000004,-32.522890000000004,-154.66,21.696690000000004,32.522890000000004,154.66,1.0,0.07,32.522890000000004,0.0
T0207,1.6324583333333331,-21.696690000000004,-32.53829,-154.88,21.696690000000004,32.53829,154.88,1.0,0.07,32.53829,0.0
T0208,0.6529833333333334,-21.696690000000004,-32.782590000000006,-158.37,21.696690000000004,32.782590000000006,158.37,1.0,0.07,32.782590000000006,0.0
T0213,0.6529833333333334,-21.674769999999995,-32.529669999999996,-155.07,21.674769999999995,32.529669999999996,155.07,1.0,0.07,32.529669999999996,0.0
T0214,0.6529833333333334,-21.674769999999995,-32.83136999999999,-159.38,21.674769999999995,32.83136999999999,159.38,1.0,0.07,32.83136999999999,0.0
T0215,1.0490925884000815,-21.674769999999995,-32.749469999999995,-158.20999999999995,21.674769999999995,32.749469999999995,158.20999999999995,1.0,0.07,32.749469999999995,0.0
T0216,1.6324583333333331,-21.674769999999995,-32.74807,-158.19,21.674769999999995,32.74807,158.19,1.0,0.07,32.74807,0.0
T0217,1.6324583333333331,-21.674769999999995,-32.71236999999999,-157.68,21.674769999999995,32.71236999999999,157.68,1.0,0.07,32.71236999999999,0.0
T0218,1.6324583333333331,-21.674769999999995,-32.27907,-151.49,21.674769999999995,32.27907,151.49,1.0,0.07,32.27907,0.0
T0219,1.6324583333333331,-21.674769999999995,-31.97947,-147.21,21.674769999999995,31.97947,147.21,1.0,0.07,31.97947,0.0
T0220,1.6324583333333331,-21.674769999999995,-32.16356999999999,-149.84,21.674769999999995,32.16356999999999,149.84,1.0,0.07,32.16356999999999,0.0
T0221,1.6324583333333331,-21.674769999999995,-32.622069999999994,-156.39000000000001,21.674769999999995,32.622069999999994,156.39000000000001,1.0,0.07,32.622069999999994,0.0
T0222,0.6529833333333334,-21.674769999999995,-32.32107,-152.09,21.674769999999995,32.32107,152.09,1.0,0.07,32.32107,0.0
T0240,0.6529833333333334,-21.674769999999995,-32.18107,-150.09,21.674769999999995,32.18107,150.09,1.0,0.07,32.18107,0.0
T0241,1.6324583333333331,-21.674769999999995,-32.30777,-151.9,21.674769999999995,32.30777,151.9,1.0,0.07,32.30777,0.0
T0242,1.6324583333333331,-21.674769999999995,-32.03827,-148.05,21.674769999999995,32.03827,148.05,1.0,0.07,32.03827,0.0
T0243,1.6324583333333331,-21.674769999999995,-31.782769999999996,-144.4,21.674769999999995,31.782769999999996,144.4,1.0,0.07,31.782769999999996,0.0
T0244,1.6324583333333331,-21.674769999999995,-31.782769999999996,-144.4,21.674769999999995,31.782769999999996,144.4,1.0,0.07,31.782769999999996,0.0
T0245,1.6324583333333331,-21.674769999999995,-31.880069999999996,-145.79,21.674769999999995,31.880069999999996,145.79,1.0,0.07,31.880069999999996,0.0
T0246,1.6324583333333331,-21.674769999999995,-32.27907,-151.49,21.674769999999995,32.27907,151.49,1.0,0.07,32.27907,0.0
T0247,1.6324583333333331,-21.674769999999995,-31.999769999999998,-147.5,21.674769999999995,31.999769999999998,147.5,1.0,0.07,31.999769999999998,0.0
T0248,0.6529833333333334,-21.674769999999995,-32.96787,-161.33,21.674769999999995,32.96787,161.33,1.0,0.07,32.96787,0.0
T0249,0.6529833333333334,-21.674769999999995,-32.759269999999994,-158.35,21.674769999999995,32.759269999999994,158.35,1.0,0.07,32.759269999999994,0.0
T0250,1.6324583333333331,-21.674769999999995,-32.74317,-158.12,21.674769999999995,32.74317,158.12,1.0,0.07,32.74317,0.0
