t,dual_CO2_Liq,p_CO2_Liq,dual_Electricity,p_Electricity,comp_in_CO2_Liq,comp_in_Electricity,comp_out_CO2_Comp,wedge_0.07_p_el,store_volume,store_charge_Fuelusetotal,store_discharge,dual_storage_balance_lambda,dual_soc_max_mu,dual_terminal_soc_nu,comp_on,store_charge_on,store_discharge_on,any_activity,idle_but_priced
T0037,-149.86956999779133,149.86956999779133,-64.54,64.54,1.6324583333333331,0.11427208333333333,1.6324583333333331,4.517800000000001,,,,,,,True,False,False,True,False
T0038,-143.55506472758253,143.55506472758253,-46.96,46.96,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.2872000000000003,,,,,,,True,False,False,True,False
T0039,-144.30935716600337,144.30935716600337,-49.06,49.06,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.4342000000000006,,,,,,,True,False,False,True,False
T0040,-153.62307284612365,153.62307284612365,-74.99,74.99,1.6324583333333331,0.11427208333333333,1.6324583333333331,5.2493,,,,,,,True,False,False,True,False
T0041,-163.16307625777017,163.16307625777017,-101.55000000000001,101.55000000000001,1.6324583333333331,0.11427208333333333,1.6324583333333331,7.108500000000001,,,,,,,True,False,False,True,False
T0042,-165.7671811046993,165.7671811046993,-108.80000000000001,108.80000000000001,1.6324583333333331,0.11427208333333333,1.6324583333333331,7.616000000000001,,,,,,,True,False,False,True,False
T0043,-163.05172832638422,163.05172832638422,-101.24000000000001,101.24000000000001,1.6324583333333331,0.11427208333333333,1.6324583333333331,7.086800000000001,,,,,,,True,False,False,True,False
T0044,-157.10000180036832,157.10000180036832,-84.67,84.67,1.6324583333333331,0.11427208333333333,1.6324583333333331,5.926900000000001,,,,,,,True,False,False,True,False
T0045,-150.93994688659805,150.93994688659805,-67.52,67.52,1.6324583333333331,0.11427208333333333,1.6324583333333331,4.7264,,,,,,,True,False,False,True,False
T0046,-148.08081935810762,148.08081935810762,-59.559999999999995,59.559999999999995,1.6324583333333331,0.11427208333333333,1.6324583333333331,4.1692,,,,,,,True,False,False,True,False
T0047,-148.12751365191463,148.12751365191463,-59.69,59.69,1.6324583333333331,0.11427208333333333,1.6324583333333331,4.1783,,,,,,,True,False,False,True,False
T0048,-143.32877699605626,143.32877699605626,-46.33,46.33,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.2431,,,,,,,True,False,False,True,False
T0049,-136.24201994365473,136.24201994365473,-26.6,26.6,1.6324583333333331,0.11427208333333333,1.6324583333333331,1.8620000000000003,,,,,,,True,False,False,True,False
T0050,-138.65575574660141,138.65575574660141,-33.32,33.32,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.3324000000000003,,,,,,,True,False,False,True,False
T0051,-138.63779640282948,138.63779640282948,-33.27,33.27,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.3289000000000004,,,,,,,True,False,False,True,False
T0052,-136.25638741867223,136.25638741867223,-26.64,26.64,1.6324583333333331,0.11427208333333333,1.6324583333333331,1.8648000000000002,,,,,,,True,False,False,True,False
T0053,-131.53667187541038,131.53667187541038,-13.5,13.5,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.9450000000000001,,,,,,,True,False,False,True,False
T0054,-131.61569298800686,131.61569298800686,-13.72,13.72,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.9604000000000001,,,,,,,True,False,False,True,False
T0055,-140.17511622970628,140.17511622970628,-37.55,37.55,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.6285,,,,,,,True,False,False,True,False
T0056,-158.56907612091177,158.56907612091177,-88.76,88.76,1.6324583333333331,0.11427208333333333,1.6324583333333331,6.213200000000001,,,,,,,True,False,False,True,False
T0057,-170.84249165464524,170.84249165464524,-122.93,122.93,1.6324583333333331,0.11427208333333333,1.6324583333333331,8.605100000000002,,,,,,,True,False,False,True,False
T0058,-166.25926712405,166.25926712405,-110.17,110.17,1.6324583333333331,0.11427208333333333,1.6324583333333331,7.711900000000001,,,,,,,True,False,False,True,False
T0059,-160.22851948543763,160.22851948543763,-93.38,93.38,1.6324583333333331,0.11427208333333333,1.6324583333333331,6.5366,,,,,,,True,False,False,True,False
T0060,-159.2766742655256,159.2766742655256,-90.73,90.73,1.6324583333333331,0.11427208333333333,1.6324583333333331,6.351100000000001,,,,,,,True,False,False,True,False
T0061,-156.27387198685977,156.27387198685977,-82.37,82.37,1.6324583333333331,0.11427208333333333,1.6324583333333331,5.765900000000001,,,,,,,True,False,False,True,False
T0062,-155.74586727996518,155.74586727996518,-80.9,80.9,1.6324583333333331,0.11427208333333333,1.6324583333333331,5.663000000000001,,,,,,,True,False,False,True,False
T0063,-155.77819409875462,155.77819409875462,-80.99,80.99,1.6324583333333331,0.11427208333333333,1.6324583333333331,5.6693,,,,,,,True,False,False,True,False
T0064,-161.90592219373542,161.90592219373542,-98.05,98.05,1.6324583333333331,0.11427208333333333,1.6324583333333331,6.8635,,,,,,,True,False,False,True,False
T0065,-169.98762689110163,169.98762689110163,-120.55,120.55,1.6324583333333331,0.11427208333333333,1.6324583333333331,8.438500000000001,,,,,,,True,False,False,True,False
T0066,-176.81936126194188,176.81936126194188,-139.57,139.57,0.6529833333333334,0.04570883333333334,0.6529833333333334,9.7699,,,,,,,True,False,False,True,False
T0067,-175.066529309802,175.066529309802,-134.69,134.69,1.6324583333333331,0.11427208333333333,1.6324583333333331,9.4283,,,,,,,True,False,False,True,False
T0068,-167.92948609483904,167.92948609483904,-114.82,114.82,1.6324583333333331,0.11427208333333333,1.6324583333333331,8.0374,,,,,,,True,False,False,True,False
