t,dual_CO2_Liq,p_CO2_Liq,dual_Electricity,p_Electricity,comp_in_CO2_Liq,comp_in_Electricity,comp_out_CO2_Comp,wedge_0.07_p_el,store_volume,store_charge_Fuelusetotal,store_discharge,dual_storage_balance_lambda,dual_soc_max_mu,dual_terminal_soc_nu,comp_on,store_charge_on,store_discharge_on,any_activity,idle_but_priced
T4095,-254.07782259747287,254.07782259747287,-183.58,183.58,1.6324583333333331,0.11427208333333333,1.6324583333333331,12.850600000000002,39.184499999999964,0.0004999999999999449,0.0,254.07782259747287,0.0,-183.44443544032853,True,True,False,True,False
T4096,-254.07782259747287,254.07782259747287,-183.58,183.58,1.6324583333333331,0.11427208333333333,1.6324583333333331,12.850600000000002,39.18499999999997,0.0004999999999999449,0.0,254.07782259747287,0.0,-183.44443544032853,True,True,False,True,False
T4097,-254.07782259747287,254.07782259747287,-198.2,198.2,1.6324583333333331,0.11427208333333333,1.6324583333333331,13.874,39.18549999999997,0.0004999999999999449,0.0,254.07782259747287,0.0,-183.44443544032853,True,True,False,True,False
T4098,-254.07782259747287,254.07782259747287,-209.23,209.23,1.6324583333333331,0.11427208333333333,1.6324583333333331,14.6461,39.18599999999997,0.0004999999999999449,0.0,254.07782259747287,0.0,-183.44443544032853,True,True,False,True,False
T4099,-254.07782259747287,254.07782259747287,-291.19,291.19,1.6324583333333331,0.11427208333333333,1.6324583333333331,20.383300000000002,39.186499999999974,0.0004999999999999449,0.0,254.07782259747287,0.0,-183.44443544032853,True,True,False,True,False
T4100,-254.52680619177102,254.52680619177102,-316.32,316.32,1.6324583333333331,0.11427208333333333,1.6324583333333331,22.142400000000002,39.186499999999974,0.0,0.0,254.07782259747287,0.0,-183.44443544032853,True,False,False,True,False
T4101,-254.52680619177102,254.52680619177102,-316.32,316.32,1.6324583333333331,0.11427208333333333,1.6324583333333331,22.142400000000002,39.186499999999974,0.0,0.0,254.07782259747287,0.0,-183.44443544032853,True,False,False,True,False
T4102,-254.07782259747287,254.07782259747287,-302.10999999999996,302.10999999999996,1.6324583333333331,0.11427208333333333,1.6324583333333331,21.1477,39.186999999999976,0.0004999999999999449,0.0,254.07782259747287,0.0,-183.44443544032853,True,True,False,True,False
T4103,-254.07782259747287,254.07782259747287,-251.66450000000003,251.66450000000003,1.6324583333333331,0.11427208333333333,1.6324583333333331,17.616515000000003,39.18749999999998,0.0004999999999999449,0.0,254.07782259747287,0.0,-183.44443544032853,True,True,False,True,False
T4104,-254.07782259747287,254.07782259747287,-264.91,264.91,1.6324583333333331,0.11427208333333333,1.6324583333333331,18.543700000000005,39.18799999999998,0.0004999999999999449,0.0,254.07782259747287,0.0,-183.44443544032853,True,True,False,True,False
T4105,-254.07782259747287,254.07782259747287,-242.42,242.42,1.6324583333333331,0.11427208333333333,1.6324583333333331,16.9694,39.18849999999998,0.0004999999999999449,0.0,254.07782259747287,0.0,-183.44443544032853,True,True,False,True,False
T4106,-254.07782259747287,254.07782259747287,-232.91,232.91,1.6324583333333331,0.11427208333333333,1.6324583333333331,16.303700000000003,39.188999999999986,0.0004999999999999449,0.0,254.07782259747287,0.0,-183.44443544032853,True,True,False,True,False
T4107,-254.07782259747287,254.07782259747287,-230.57,230.57,1.6324583333333331,0.11427208333333333,1.6324583333333331,16.1399,39.18949999999999,0.0004999999999999449,0.0,254.07782259747287,0.0,-183.44443544032853,True,True,False,True,False
T4108,-254.07782259747287,254.07782259747287,-230.57,230.57,1.6324583333333331,0.11427208333333333,1.6324583333333331,16.1399,39.18999999999999,0.0004999999999999449,0.0,254.07782259747287,0.0,-183.44443544032853,True,True,False,True,False
T4109,-254.07782259747287,254.07782259747287,-242.31,242.31,1.6324583333333331,0.11427208333333333,1.6324583333333331,16.9617,39.19049999999999,0.0004999999999999449,0.0,254.07782259747287,0.0,-183.44443544032853,True,True,False,True,False
T4110,-254.07782259747287,254.07782259747287,-311.01,311.01,1.6324583333333331,0.11427208333333333,1.6324583333333331,21.7707,39.190999999999995,0.0004999999999999449,0.0,254.07782259747287,0.4166567755086419,-183.44443544032853,True,True,False,True,False
T4111,-254.49447937298152,254.49447937298152,-338.9,338.9,1.6324583333333331,0.11427208333333333,1.6324583333333331,23.723,37.55854166666666,0.0,1.6324583333333331,254.49447937298152,0.0,-183.44443544032853,True,False,True,True,False
T4112,-254.49447937298152,254.49447937298152,-328.6,328.6,1.6324583333333331,0.11427208333333333,1.6324583333333331,23.002000000000002,35.92608333333333,0.0,1.6324583333333331,254.49447937298152,0.0,-183.44443544032853,True,False,True,True,False
T4113,-254.49447937298152,254.49447937298152,-263.72,263.72,1.6324583333333331,0.11427208333333333,1.6324583333333331,18.460400000000003,35.92658333333333,0.0004999999999999449,0.0,254.49447937298152,0.0,-183.44443544032853,True,True,False,True,False
T4114,-254.49447937298152,254.49447937298152,-236.82,236.82,1.6324583333333331,0.11427208333333333,1.6324583333333331,16.5774,35.927083333333336,0.0004999999999999449,0.0,254.49447937298152,0.0,-183.44443544032853,True,True,False,True,False
T4115,-254.49447937298152,254.49447937298152,-224.74,224.74,1.6324583333333331,0.11427208333333333,1.6324583333333331,15.731800000000002,35.92758333333334,0.0004999999999999449,0.0,254.49447937298152,0.0,-183.44443544032853,True,True,False,True,False
T4116,-254.49447937298152,254.49447937298152,-219.41,219.41,1.6324583333333331,0.11427208333333333,1.6324583333333331,15.3587,35.92808333333334,0.0004999999999999449,0.0,254.49447937298152,0.0,-183.44443544032853,True,True,False,True,False
T4117,-254.49447937298152,254.49447937298152,-212.61,212.61,1.6324583333333331,0.11427208333333333,1.6324583333333331,14.882700000000002,35.92858333333334,0.0004999999999999449,0.0,254.49447937298152,0.0,-183.44443544032853,True,True,False,True,False
T4118,-254.49447937298152,254.49447937298152,-212.61,212.61,1.6324583333333331,0.11427208333333333,1.6324583333333331,14.882700000000002,35.929083333333345,0.0004999999999999449,0.0,254.49447937298152,0.0,-183.44443544032853,True,True,False,True,False
T4119,-254.49447937298152,254.49447937298152,-229.83,229.83,1.6324583333333331,0.11427208333333333,1.6324583333333331,16.0881,35.92958333333335,0.0004999999999999449,0.0,254.49447937298152,0.0,-183.44443544032853,True,True,False,True,False
T4120,-254.49447937298152,254.49447937298152,-239.43,239.43,1.6324583333333331,0.11427208333333333,1.6324583333333331,16.7601,35.93008333333335,0.0004999999999999449,0.0,254.49447937298152,0.0,-183.44443544032853,True,True,False,True,False
T4121,-254.49447937298152,254.49447937298152,-304.48,304.48,0.6529833333333334,0.04570883333333334,0.6529833333333334,21.313600000000005,36.91005833333335,0.9799749999999997,0.0,254.49447937298152,0.0,-183.44443544032853,True,True,False,True,False
T4122,0.0,-0.0,-373.93,373.93,0.0,0.0,0.0,26.175100000000004,36.91005833333335,0.0,0.0,254.49447937298152,0.0,-183.44443544032853,False,False,False,False,False
T4123,-254.49447937298152,254.49447937298152,-450.25,450.25,0.0,0.0,0.0,31.517500000000002,36.91005833333335,0.0,0.0,254.49447937298152,0.0,-183.44443544032853,False,False,False,False,True
T4124,-254.49447937298152,254.49447937298152,-458.04,458.04,0.0,0.0,0.0,32.0628,36.91005833333335,0.0,0.0,254.49447937298152,0.0,-183.44443544032853,False,False,False,False,True
T4125,-254.49447937298152,254.49447937298152,-410.35,410.35,0.0,0.0,0.0,28.724500000000003,36.91005833333335,0.0,0.0,254.49447937298152,0.0,-183.44443544032853,False,False,False,False,True
